Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ (3 meses),Rec Serviços,Rec Serviços (3 meses)
TTEN3,16.41,ON NM,17/04/2025,3TENTOS ON NM,9.08,Agropecuária,16.43,Agricultura,19380300.0,8177060000.0,31/12/2024,8471680000.0,498298000.0,10.78,1.52,2.03,8.1,6.59,19.7,0.64,9.7,0.92,5.9,3.88,14.0,8.77,24.6,18.8,6.34,1.58,6.82,0.51,39.9,1.44,8889420000.0,2066880000.0,1772260000.0,294617000.0,5776390000.0,4037710000.0,12825800000.0,3853520000.0,1241420000.0,331046000.0,758623000.0,136187000.0,1.2,,,,,,
SLCE3,20.15,ON NM,17/04/2025,SLC Agricola ON NM,16.74,Agropecuária,20.83,Agricultura,60358700.0,8933090000.0,31/12/2024,12551900000.0,443330000.0,17.54,1.15,2.23,9.02,5.87,29.6,1.14,19.5,0.51,6.2,3.98,8.7,-1.76,11.1,12.7,6.94,1.37,8.25,1.4,19.3,0.44,17574300000.0,5598400000.0,1979580000.0,3618830000.0,8390260000.0,3997670000.0,7803630000.0,2045090000.0,1521380000.0,268937000.0,509410000.0,-34633000.0,4.1,,,,,,
AMBP3,135.25,ON NM,17/04/2025,AMBIPAR ON NM,8.05,Água e Saneamento,268.51,Água e Saneamento,12868400.0,22592400000.0,31/12/2024,27541600000.0,167042000.0,-78.54,-1.72,13.87,9.75,20.91,19.6,3.52,16.8,1.54,-2.7,5.51,7.4,-3.98,10.4,-17.7,16.17,2.91,25.49,5.42,70.9,0.44,14655300000.0,8818830000.0,3869710000.0,4949120000.0,6243540000.0,1628300000.0,6413680000.0,1610560000.0,1080630000.0,215520000.0,-287668000.0,75538000.0,,,,,,,
SAPR11,28.44,UNT N2,17/04/2025,SANEPAR UNT N2,23.41,Água e Saneamento,31.86,Água e Saneamento,24073600.0,8595740000.0,31/12/2024,13426300000.0,1511210000.0,5.56,5.11,0.79,35.83,3.72,57.8,1.26,33.8,0.42,22.6,5.95,11.3,-1.35,12.6,14.3,4.67,1.78,5.81,0.61,9.4,0.33,20508000000.0,6631330000.0,1800760000.0,4830580000.0,3296190000.0,10828700000.0,6848220000.0,1776210000.0,2312870000.0,642564000.0,1545350000.0,412870000.0,5.5,,,,,,
CSMG3,20.01,ON,17/04/2025,COPASA MG ON,18.13,Água e Saneamento,24.91,Água e Saneamento,44563400.0,7608860000.0,31/12/2024,12902000000.0,380253000.0,5.78,3.46,0.95,21.17,3.53,42.8,0.97,27.3,0.49,16.7,10.38,13.9,-1.5,15.0,16.4,4.37,1.44,5.99,0.76,10.6,0.51,15511800000.0,6113170000.0,820054000.0,5293110000.0,2406410000.0,8048230000.0,7878010000.0,2006210000.0,2153280000.0,490044000.0,1316920000.0,271930000.0,12.0,,,,,,
ORVR3,44.55,ON NM,17/04/2025,ORIZON ON NM,35.67,Água e Saneamento,49.5,Água e Saneamento,15536300.0,3695460000.0,31/12/2024,5069460000.0,82950900.0,60.68,0.73,4.75,9.38,14.82,45.8,4.09,27.6,1.11,8.2,7.56,7.5,-2.39,9.1,7.8,12.51,2.15,20.33,2.4,25.2,0.27,3334200000.0,1867300000.0,493299000.0,1374000000.0,911748000.0,778156000.0,903473000.0,230206000.0,249364000.0,51635000.0,60897000.0,-10536000.0,,,,,,,
BEEF3,7.41,ON NM,17/04/2025,Minerva ON NM,4.29,Alimentos Processados,7.95,Carnes e Derivados,65678100.0,4499970000.0,31/12/2024,20121100000.0,607283000.0,-2.89,-2.57,-9.4,-0.79,1.9,20.6,0.13,6.9,0.11,-4.6,0.57,5.6,-0.26,11.0,325.7,6.63,1.48,8.5,-62.85,11.9,0.81,42141900000.0,30082100000.0,14460900000.0,15621200000.0,24456800000.0,-478639000.0,34068900000.0,10714200000.0,2366090000.0,715334000.0,-1558710000.0,-1532270000.0,,,,,,,
MRFG3,20.7,ON NM,17/04/2025,Marfrig ON NM,7.79,Alimentos Processados,20.7,Carnes e Derivados,116068000.0,17759100000.0,31/12/2024,60983400000.0,857928000.0,6.35,3.26,6.29,3.29,2.85,13.2,0.12,4.2,0.13,2.6,1.48,4.5,-0.28,6.6,99.0,4.54,1.28,9.78,23.38,22.4,1.08,137510000000.0,66019800000.0,22795500000.0,43224300000.0,54934700000.0,2824140000.0,148861000000.0,42150300000.0,6236880000.0,1778960000.0,2795400000.0,2578280000.0,14.5,,,,,,
JBSS3,43.55,ON NM,17/04/2025,JBS ON NM,20.27,Alimentos Processados,43.55,Carnes e Derivados,357799000.0,96599000000.0,31/12/2024,180669000000.0,2218120000.0,10.05,4.34,2.16,20.19,3.97,15.1,0.23,5.8,0.38,2.6,2.86,9.7,-1.01,13.7,21.5,5.0,1.47,7.42,2.67,9.5,1.65,251936000000.0,119677000000.0,35607100000.0,84070200000.0,106018000000.0,44780900000.0,416952000000.0,116701000000.0,24351200000.0,5973450000.0,9615920000.0,2412170000.0,6.9,,,,,,
BRFS3,21.15,ON NM,17/04/2025,BRF Foods ON NM,15.81,Alimentos Processados,28.59,Carnes e Derivados,166980000.0,35584300000.0,31/12/2024,44265400000.0,1682470000.0,11.07,1.91,2.36,8.97,5.23,25.8,0.58,11.1,0.57,6.0,3.55,10.8,-2.32,18.9,21.3,4.29,1.48,6.51,1.37,10.4,0.98,62675100000.0,20740500000.0,12059400000.0,8681100000.0,30830500000.0,15085700000.0,61379000000.0,17549200000.0,6800100000.0,1843630000.0,3213270000.0,695973000.0,3.3,,,,,,
