Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield
AGXY3,5.67,ON NM,22/10/2025,AGROGALAXY ON NM,5.67,Agropecuária,11.85,Agricultura,102136.0,96217500.0,31/03/2025,1349170000.0,16969600.0,-0.03,-172.09,-0.05,-118.43,-0.06,-4.2,0.03,-48.8,0.03,-87.7,-0.03,-47.0,-0.03,-203.5,145.3,-0.91,0.33,-0.82,-0.75,-1.5,0.96,3488820000.0,1504660000.0,251712000.0,1252950000.0,1723010000.0,-2009680000.0,3357200000.0,341203000.0,-1639440000.0,-138318000.0,-2920320000.0,-199813000.0,
AGRO3,20.25,ON NM,22/10/2025,BRASILAGRO ON NM,19.8,Agropecuária,24.39,Agricultura,3300200.0,2079340000.0,30/06/2025,3230830000.0,102683000.0,15.07,1.34,0.95,21.21,9.84,28.9,1.77,18.0,0.54,11.8,4.0,5.5,-4.32,6.0,6.3,11.29,1.79,15.3,0.6,-6.5,0.31,3837000000.0,1311300000.0,159816000.0,1151490000.0,1177850000.0,2177730000.0,1172130000.0,322995000.0,211221000.0,47209000.0,138019000.0,61280000.0,
TTEN3,14.13,ON NM,22/10/2025,3TENTOS ON NM,10.47,Agropecuária,16.9,Agricultura,13502400.0,7057900000.0,30/06/2025,9275450000.0,499498000.0,7.21,1.96,1.57,8.98,6.34,17.7,0.49,7.7,0.61,6.8,2.39,9.6,12.17,15.3,21.8,7.6,1.63,8.34,0.91,33.8,1.24,11584400000.0,4064340000.0,1846790000.0,2217550000.0,7670250000.0,4484860000.0,14412100000.0,3562880000.0,1112490000.0,309358000.0,978809000.0,331555000.0,1.3
SLCE3,15.86,ON NM,22/10/2025,SLC Agricola ON NM,15.65,Agropecuária,20.25,Agricultura,30331500.0,7031210000.0,30/06/2025,12863600000.0,443330000.0,11.95,1.33,1.36,11.68,4.14,29.2,0.8,19.3,0.4,6.6,2.16,9.7,-1.52,10.8,11.4,6.25,1.73,7.57,1.35,9.8,0.5,17610700000.0,6982050000.0,1149610000.0,5832430000.0,7720450000.0,5179100000.0,8786440000.0,2254860000.0,1699670000.0,474092000.0,588584000.0,161688000.0,3.4
SOJA3,10.03,ON NM,22/10/2025,BOA SAFRA ON NM,9.56,Agropecuária,13.16,Agricultura,4042310.0,1357280000.0,30/06/2025,1645530000.0,135322000.0,13.4,0.75,1.0,10.0,8.71,13.4,0.7,8.0,0.38,8.9,0.78,4.3,1.5,5.8,7.5,7.74,3.21,10.56,0.63,33.5,0.54,3586820000.0,853164000.0,564911000.0,288253000.0,2521790000.0,1353140000.0,1940720000.0,125124000.0,155856000.0,18263000.0,101279000.0,5628000.0,1.5
LAND3,7.35,ON NM,22/10/2025,TERRASANTAPA ON NM,7.33,Agropecuária,15.85,Agricultura,569357.0,707268000.0,30/06/2025,734226000.0,96227000.0,43.35,0.17,0.97,7.61,13.6,94.7,8.22,60.4,0.77,19.0,-29.46,5.6,-4.47,5.7,2.2,13.31,0.57,14.11,0.06,-9.4,0.09,922242000.0,43563000.0,16605000.0,26958000.0,32057000.0,732067000.0,86082000.0,29897000.0,52022000.0,23061000.0,16316000.0,5006000.0,1.0
AMBP3,0.42,ON NM,22/10/2025,AMBIPAR ON NM,0.38,Água e Saneamento,26.85,Água e Saneamento,25804000.0,701576000.0,30/06/2025,7057990000.0,1670420000.0,-2.73,-0.15,0.64,0.65,0.62,18.2,0.1,15.6,0.04,-2.6,0.15,6.7,-0.09,9.6,-23.5,3.54,2.72,6.26,10.1,56.8,0.43,16918400000.0,11041300000.0,4684890000.0,6356410000.0,7328510000.0,1093330000.0,7243010000.0,1770720000.0,1127250000.0,260980000.0,-256625000.0,-171760000.0,
SAPR4,6.73,PN,22/10/2025,SANEPAR PN,4.87,Água e Saneamento,7.42,Água e Saneamento,7613790.0,10170400000.0,30/06/2025,15472200000.0,1511210000.0,4.5,1.5,0.86,7.8,5.22,56.6,1.45,27.9,0.41,32.3,19.64,7.8,-1.0,8.4,19.2,6.08,1.21,7.94,0.57,9.5,0.28,24914500000.0,6698070000.0,1396320000.0,5301750000.0,2970920000.0,11784300000.0,6996560000.0,1705370000.0,1949230000.0,567981000.0,2262240000.0,263848000.0,6.7
SAPR11,34.16,UNT N2,22/10/2025,SANEPAR UNT N2,24.38,Água e Saneamento,37.82,Água e Saneamento,42443700.0,10324600000.0,30/06/2025,15626300000.0,1511210000.0,4.56,7.48,0.88,38.99,5.3,56.6,1.48,27.9,0.41,32.3,19.93,7.8,-1.02,8.4,19.2,6.14,1.21,8.02,0.57,9.5,0.28,24914500000.0,6698070000.0,1396320000.0,5301750000.0,2970920000.0,11784300000.0,6996560000.0,1705370000.0,1949230000.0,567981000.0,2262240000.0,263848000.0,6.5
SAPR3,7.3,ON,22/10/2025,SANEPAR ON,4.71,Água e Saneamento,8.06,Água e Saneamento,1578400.0,11031800000.0,30/06/2025,16333500000.0,1511210000.0,4.88,1.5,0.94,7.8,5.66,56.6,1.58,27.9,0.44,32.3,21.3,7.8,-1.09,8.4,19.2,6.42,1.21,8.38,0.57,9.5,0.28,24914500000.0,6698070000.0,1396320000.0,5301750000.0,2970920000.0,11784300000.0,6996560000.0,1705370000.0,1949230000.0,567981000.0,2262240000.0,263848000.0,5.6
SBSP3,130.1,ON NM,22/10/2025,SABESP ON NM,84.12,Água e Saneamento,132.18,Água e Saneamento,371924000.0,88924700000.0,30/06/2025,112283000000.0,683510000.0,7.96,16.33,2.2,59.17,4.93,53.1,2.21,44.8,1.0,27.8,32.08,20.3,-2.54,22.7,27.6,5.54,1.26,6.23,0.77,20.0,0.45,88719900000.0,31283500000.0,7925590000.0,23358000000.0,13234400000.0,40444100000.0,40226500000.0,8964530000.0,18025700000.0,3303650000.0,11164900000.0,2135960000.0,2.9
